name,method,ingredients,category
Easy cheese bougatsa with phyllo,"Preheat the oven 180,ο, C (350,ο, F) set to fan.,Place a ,pot, over medium heat and add the butter. As soon as it melts, add the flour and whisk until the whole flour is absorbed.,Add the milk in batches by whisking constantly until the mixture thickens and starts boiling.,Remove from the heat and add the nutmeg, salt, pepper, and mix.,Add the feta cheese crumbled, the gruyere, the egg yolks, and mix.,Grease a ,baking pan, and spread 2 phyllo sheets, making sure to cover the whole surface of the pan and to leave an overhang.,Add one more phyllo sheet and drizzle with olive oil. Follow the same process for two more phyllo sheets, so that -in total- you have 5 sheets at the bottom.,Spread the filling and cover with the remaining phyllo, drizzling with olive oil in between.,Fold the overhanging phyllo inwards to crimp the bougatsa and score into 12 pieces. ,Sprinkle with the sesame seeds and bake for 40-50 minutes.,Let it cool and serve."," 100 g butter , 100 g all-purpose flour , 1 liter milk , 1 pinch nutmeg , salt , pepper , 500 g feta cheese , 200 g gruyere cheese, grated , 2 egg yolks, from medium eggs , 450 g phyllo dough sheets , 100 g olive oil , 10 g sesame seeds ",Savory pies and Tarts
Chicken Bolognese with penne,"In a ,pot, with boiling salted water, add the penne and boil them according to the packet’s instructions.,At the same time, place a ,frying pan, over high heat and add the olive oil.,Add the carrot and the pepper into cubes, the onion, the chili pepper, and the garlic into small pieces, the sugar, the thyme, and mix. Sauté for 2-3 minutes until caramelized.,Add the ground chicken and mix until golden brown.,Add the cumin, the tomato paste, and sauté. Add the canned tomatoes, the stock, salt, pepper, the basil, the oregano, and stir.,Cover with the lid and simmer over low heat for 20-30 minutes.,Drain the penne, add them to the pan with the ground chicken, and mix.,Serve with grated mozzarella, pepper, olive oil, and oregano."," 500 g penne, whole wheat , 2 tablespoon(s) olive oil , 1 carrot , 1 green bell pepper , 1 onion , 1 chili pepper , 1 clove(s) of garlic , 1 pinch granulated sugar , 1 tablespoon(s) thyme , 700 g ground chicken , 1 teaspoon(s) cumin , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 400 g chicken stock , salt , pepper , 1 tablespoon(s) basil , 1 teaspoon(s) oregano , 50 g mozzarella , pepper , olive oil , oregano ",Pasta
Beef cannelloni,"Place a ,pot, over high heat and add the olive oil.,Coarsely ,chop, the onions and add them to the pot.,Finely chop the garlic and add to the pot.,Add the thyme and the 1 tablespoon of basil leaves. Mix with a wooden spoon.,Add the sugar, nutmeg and cinnamon. Sauté for 2-3 minutes to caramelize.,Add the tomato paste. Mix with a wooden spoon and scrape the bottom of the pan to sauté the tomato paste, until golden. This will help it lose its bitterness.,Add the wine and allow it to evaporate.,Add the canned tomatoes and oregano. Mix.,As soon as the mixture comes to a boil, add the remaining 1 tablespoon of basil leaves, salt and pepper.,Mix, remove from heat and set aside.,Place a pot over high heat and add 1 tablespoon of olive oil.,Add the ground meat and sauté for 3-4 minutes, until golden.,Add half of the tomato sauce to a baking pan and the remaining half to the pan with the ground meat.,Season with salt and pepper.,As soon as the liquid in the pan has evaporated, remove from heat and set aside.,Place a pot over medium heat.,Add the butter and whisk until it melts.,Add the flour and whisk until incorporated.,Add the milk in small batches, while continuously whisking so that no lumps form.,Season with salt and pepper. As soon as you see the first bubble appear in the mixture and the béchamel sauce thickens, remove from heat.,Add the egg yolks, nutmeg and 50 g parmesan. Whisk until incorporated.,Preheat oven to 180* C (350* F) Fan.,Place one cannelloni at a time in the pot and fill with mixture by using your hands.,Transfer each filled cannelloni to the ,baking pan,, placing them one next to the other over the tomato sauce.,Pour the béchamel sauce over them and spread it evenly with a spoon, making sure the whole surface of the cannelloni is completely covered.,Sprinkle with 50 g of parmesan and cover baking pan with parchment paper first and then with aluminum foil.,Bake for 30 minutes.,Uncover and bake again for 15 minutes, until golden.,When ready, remove from oven and allow to cool.,Serve with basil leaves."," 1 onion, dry  , 3-4 tablespoon(s) olive oil , 1 clove(s) of garlic , 1 tablespoon(s) thyme , 2 tablespoon(s) basil leaves , 1 pinch granulated sugar , 1/2 teaspoon(s) cinnamon , 1/2 teaspoon(s) nutmeg , 1 tablespoon(s) tomato paste , 50 g white wine , 1 beef bouillon cube , 800 g canned tomatoes , 1 tablespoon(s) oregano , salt , pepper , 1 tablespoon(s) olive oil , 1 kilo ground beef , salt , pepper , 100 g butter , 100 g all-purpose flour , 750 g milk , salt , pepper , 3 egg yolks , 1 pinch nutmeg , 50 g parmesan cheese, grated  , 250 g cannelloni , 50 g parmesan cheese, grated  , basil leaves ",Pasta
Light ground turkey pasta bake – Pastitsio ,"Place a ,pot, over high heat and add the olive oil.,Add the onion, the carrot, the pepper and the garlic finely chopped, the cumin, and sauté for 1-2 minutes. ,Add the ground turkey, salt, pepper, and sauté for 1-2 minutes until the meat is golden brown.,Add the tomato paste and sauté. Add the canned tomatoes, the parsley finely chopped, and stir.,Simmer for 10 minutes on medium heat. Remove and set aside.,Place a pot over medium heat and add the olive oil. ,Add the flour and whisk well until the whole flour is absorbed.,Add the milk in batches by whisking constantly until it thickens and comes to a boil. Add the nutmeg, pepper, salt, and mix.,Turn off the heat and add the yolk, the cheese, and whisk until the cheese melts. ,In a pot with salted boiling water, add the bucatini. Boil for 2 minutes less than the packet’s instructions.,Remove from the heat and drain.,Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Add the pasta into a 25x35 cm ovenproof baking dish. Add 100 g of the cheese, pepper, the parsley finely chopped, the egg and the egg white beaten, and mix well with a serving spoon.,Add a ladleful of the bechamel sauce into the ground turkey and mix. Spread the meat on top of the pasta. Make sure to cover the whole surface of the bucatini with the ground turkey.,Spread the whole bechamel sauce over the ground turkey, add 50 g cheese, and bake for 30-40 minutes until golden.,Serve with parsley."," 1-2 tablespoon(s) olive oil , 1 onion , 1 carrot , 1 red bell pepper , 1 clove(s) of garlic , 1 teaspoon(s) cumin , 800 g ground turkey , salt , pepper , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 1/4 bunch parsley , 100 g olive oil , 100 g all-purpose flour , 1 liter milk, light , 1 pinch nutmeg , salt , pepper , 1 egg yolk, from a medium egg  , 100 g light cheese , 500 g bucatini pasta, whole-wheat  , salt , 200 g light cheese , pepper , 1/4 bunch parsley , 1 egg, medium , 1 egg white, from a medium egg  , parsley ",Pasta
Healthy chicken penne pasta (High protein),"In a ,pot, with boiling water, add salt and the penne pasta.,Boil according to the package directions.,Place a ,frying pan, over high heat.,Cut, each fillet horizontally, so that four thinner fillets are created, and spread salt, pepper, 1 tablespoon thyme, and olive oil.,Transfer into the hot frying pan and cook both sides for 3-4 minutes.,In a ,bowl,, add the yogurt, honey, mustard, salt, pepper, and mix with a spoon.,Add the corn, and the thyme and mint finely chopped.,Remove the chicken from the pan, cut it into strips, and add it to the bowl.,Drain the penne pasta, add them to the bowl, and mix.,Serve with mint, thyme, and olive oil."," 250 g penne, high protein , salt , 2 chicken breast fillet , 2 tablespoon(s) olive oil , pepper , 2 tablespoon(s) thyme , 300 g strained yogurt, 2% , 70 g honey , 1 tablespoon(s) mustard , 200 g corn , 1/4 bunch mint , mint , thyme , 1 tablespoon(s) olive oil ",Pasta
Ground sausage pasta,"Place a ,frying pan, over high heat.,Cut the sausage into large pieces and add them into a mixer, in batches. Process well until the sausage breaks down into very small pieces.,Transfer the sausage to the hot pan and sauté. If it’s not very fatty, you can add some olive oil.,Finely chop the garlic, the sage, and add them to the pan. Sauté for 1-2 minutes. ,At the same time, in a ,pot, with boiling water, add salt and the spaghetti. Boil according to the packet’s instructions.,Deglaze the pan with the wine and let it evaporate.,Add the heavy cream and let it boil for 2-3 minutes.,Transfer the spaghetti to the pan and, if needed, add one ladleful of the water where the pasta boiled. Mix and let them boil for 1 minute.,Finely chop the sundried tomatoes and add them to the pan. Add the spinach and mix.,Remove from the heat and serve with grated gruyere cheese and pepper."," 250 g sausage , 1 tablespoon(s) olive oil, optional , 3 clove(s) of garlic , 2 tablespoon(s) sage , salt , 250 g spaghetti , 100 g white wine , 200 g heavy cream 35% , 100 g sun-dried tomatoes , 100 g baby spinach , gruyere cheese , pepper ",Pasta
Quick Bolognese,"Place a ,deep nonstick pan, over high heat and let it get very hot.,Add 1 tablespoon of olive oil and ¼ of the ground meat, torn apart in to smaller pieces with your hands. Do not break it apart completely so that you bite in to large bits of ground meat.,Sauté until it is nicely caramelized on the outside. You do not need to cook it all the way through.,When ready, ,transfer, to a bowl and repeat the same process for another 3 batches of the ground meat and set aside.,Place the same pan over heat. Add the olive oil, onion, garlic, sugar and dry thyme. Sauté for at least 4-5 minutes, until the onion caramelizes.,Add the ground meat and tomato paste. Stir.,Add the wine and allow all of the alcohol to evaporate completely.,Add the water, bouillon cube, cinnamon stick, bay leaves, all spice and canned chopped tomatoes.,Lower heat, stir and simmer for at least 10 minutes.,While the meat sauce is cooking, prepare the pasta.,Cook the spaghetti in a ,pot, full of salted, boiling water. Boil according to the directions on the package, for about 5-6 minutes. You want the pasta to be al dente.,When ready, drain and set aside.,When the sauce has thickened, add the heavy cream. Stir and remove from heat.,Serve the spaghetti with 2 heaping spoonfuls of Bolognese, fresh parmesan, basil leaves and a generous amount of freshly ground pepper."," 6 tablespoon(s) olive oil , 750 g ground beef , 2 onions, finely chopped   , 1 clove(s) of garlic, thinly sliced  , 1 teaspoon(s) granulated sugar , 1 tablespoon(s) thyme, dry  , 2 tablespoon(s) tomato paste , 100 ml red wine , 200 ml water , 1 chicken bouillon cube , 1 stick(s) cinnamon , 2 bay leaves , 3 allspice berries , 400 g canned tomatoes , 500 g spaghetti , 100 ml heavy cream 35% , parmesan cheese, grated, for serving  ",Pasta
Shrimp penne,"In a ,pot, with boiling water add salt, the penne, and boil according to the packet’s instructions. ,Place a ,frying pan, over high heat until it gets very hot. ,Put the shrimps into a bowl and add salt, pepper, and 2 tablespoons olive oil.,Transfer to the hot frying pan and sauté for 2-3 minutes until they are nicely golden. ,In the same pan, add whole chili peppers along with the cloves of garlic and sauté. ,Deglaze the pan with the ouzo, stir for 1 minute, and remove from the heat. ,Transfer the chili peppers and the garlic into a blender, add 2 tablespoons olive oil, and beat well. Add salt, pepper, the basil, the tahini, and beat well. Transfer the sauce into a bowl.,Then, drain the pasta, add it to the bowl with the sauce, and mix. ,Add lemon zest. If your mixture is quite thick, add 1 ladleful of the water where the penne boiled, and mix. Add the shrimps and mix everything together. ,Serve with olive oil, pepper, and basil. "," 300 g penne , salt , pepper , 1 kilo shrimps, jumbo , 4 tablespoon(s) olive oil , 2 chili peppers , 2 clove(s) of garlic , 50 g ouzo , 1/4 bunch basil , 100 g tahini , lemon zest, of 1 lemon , olive oil , pepper , basil ",Pasta
Healthy eggs Florentine with spaghetti (high protein),"Place a ,frying pan, over high heat and add the olive oil.,Finely chop the onion, the spring onions, and add them to the pan. ,Finely chop the dill, the mint, the garlic, and add them to the pan. Add salt, pepper, the spinach, and sauté for 6-7 minutes until the spinach is wilted.,At the same time, in a ,pot, with boiling water add salt, the spaghetti, and boil according to the packet’s instructions.,Add the heavy cream, the spaghetti, and the lemon zest into the pan, and mix.,Place a pot with water over medium and let it come to a boil.,In a small bowl add a little vinegar, crack one egg in, and add it to the pot. Follow the same process for the remaining eggs.,Serve the spaghetti with the poached eggs, olive oil, pepper, and parmesan."," 1 onion , 2 spring onions , 2 tablespoon(s) olive oil , 2 tablespoon(s) dill , 2 tablespoon(s) mint , 1 clove(s) of garlic , salt , pepper , 500 g baby spinach , 250 g light cream, or light cream cheese , lemon zest, of 1 lemon , 400 g spaghetti, high protein , 50 g vinegar , 4 eggs , olive oil , pepper , parmesan cheese ",Pasta
Light spaghetti souffle,"Place a ,frying pan, over medium heat until it gets very hot.,Cut the turkey into 2 cm cubes and the mushrooms into thin slices.,Add the turkey to the pan along with 2 tablespoons olive oil and sauté it for 3-4 minutes, until golden brown.,Remove the turkey from the pan and set it aside until needed.,Add the mushrooms to the pan along with 3 tablespoons olive oil, salt, pepper, and sauté them for 5-10 minutes, until they extract their juices and turn golden brown.,Finely chop the garlic, add it to the pan, and sauté for 1 more minute.,Remove the frying pan from the heat and set it aside.,In a ,bowl, add the heavy cream, the cream cheese, the eggs, salt, pepper, and whisk well.,Finely chop the thyme and the oregano, add them to the bowl and keep whisking.,Preheat the oven to 180° C (350° F) set to fan.,Boil the spaghetti in a ,pot, with salted water, according to the packet’s instructions.,Drain the pasta and transfer it to the bowl with the heavy cream.,Add the turkey, the mushrooms, the corn, and mix well with a serving spoon.,Add the pasta into a 40x28 cm ovenproof baking dish and spread the mixture -evenly- over the whole surface of the dish, using a serving spoon.,Sprinkle with the grated cheese and cover the baking dish with aluminum foil.,Bake in the oven for 20 minutes.,Remove the baking dish from the oven, take out the aluminum foil, and bake for 10 more minutes until the top is golden.,Remove from the oven and serve with fresh oregano."," 200 g smoked turkey, piece , 500 g champignon mushrooms , 5 tablespoon(s) olive oil , salt , pepper , 1 clove(s) of garlic , 300 g light cream , 300 g light cream cheese , 2 eggs, medium , 1 tablespoon(s) thyme , 1 tablespoon(s) oregano , 500 g spaghetti, n.5 whole-wheat , 100 g corn , 200 g light cheese, grated ",Pasta
